  PID USER
    1 root
    2 root
    3 root
    4 root
    6 root
    8 root
    9 root
   10 root
   11 root
   12 root
   14 root
   15 root
   16 root
   17 root
   18 root
   20 root
   21 root
   22 root
   23 root
   24 root
   26 root
   27 root
   28 root
   29 root
   30 root
   32 root
   33 root
   34 root
   35 root
   36 root
   37 root
   38 root
   39 root
   40 root
   41 root
   42 root
   43 root
   44 root
   45 root
   46 root
   48 root
   49 root
   50 root
   51 root
   53 root
   55 root
   56 root
   59 root
   60 root
   61 root
  150 root
  151 root
  152 root
  153 root
  165 root
  186 root
  238 root
  239 root
  240 root
  243 root
  244 root
  245 root
  246 root
  247 root
  248 root
  249 root
  250 root
  251 root
  252 root
  253 root
  254 root
  258 root
  260 root
  261 root
  292 root
  293 root
  295 root
  300 root
  336 root
  356 root
  372 root
  378 root
  381 root
  393 root
  408 root
  435 root
  436 root
  453 root
  475 root
  511 systemd-resolve
  513 systemd-timesync
  522 root
  579 root
  589 root
  590 root
  594 root
  618 root
  619 root
  620 root
  849 root
  850 root
  851 root
  852 root
  854 avahi
  856 syslog
  858 root
  860 root
  863 avahi
  869 root
  870 root
  872 root
  875 root
  878 messagebus
  887 root
  891 root
  894 root
  897 root
  900 root
  907 root
  921 root
  926 root
  957 root
  986 root
  992 root
 1019 gdm
 1020 gdm
 1031 gdm
 1033 gdm
 1035 gdm
 1041 gdm
 1048 root
 1076 gdm
 1084 gdm
 1089 gdm
 1091 gdm
 1095 gdm
 1096 rtkit
 1111 gdm
 1114 gdm
 1117 gdm
 1121 gdm
 1127 gdm
 1135 root
 1139 root
 1140 gdm
 1143 gdm
 1147 gdm
 1150 gdm
 1151 gdm
 1153 gdm
 1154 gdm
 1158 gdm
 1160 gdm
 1161 gdm
 1164 gdm
 1166 gdm
 1169 gdm
 1173 gdm
 1175 gdm
 1177 gdm
 1180 gdm
 1191 gdm
 1238 colord
 1259 whoopsie
 1268 kernoops
 1274 kernoops
 1451 root
 1452 postfix
 1453 postfix
 1461 root
 1465 gherman
 1466 gherman
 1479 gherman
 1485 gherman
 1487 gherman
 1493 gherman
 1496 gherman
 1591 gherman
 1594 gherman
 1599 gherman
 1609 gherman
 1614 gherman
 1616 gherman
 1633 gherman
 1643 gherman
 1656 root
 1658 gherman
 1662 gherman
 1664 gherman
 1667 gherman
 1674 gherman
 1681 gherman
 1685 gherman
 1693 gherman
 1710 gherman
 1715 gherman
 1719 gherman
 1724 gherman
 1728 gherman
 1733 gherman
 1737 gherman
 1738 gherman
 1740 gherman
 1741 gherman
 1746 gherman
 1751 gherman
 1754 gherman
 1759 gherman
 1767 gherman
 1770 gherman
 1772 gherman
 1777 gherman
 1778 gherman
 1780 gherman
 1786 gherman
 1788 gherman
 1792 gherman
 1814 gherman
 1841 gherman
 1852 gherman
 1859 gherman
 1864 gherman
 1885 gherman
 1886 gherman
 1892 gherman
 1903 gherman
 1914 gherman
 1932 gherman
 2170 gherman
 2173 gherman
 2193 root
 2257 gherman
 2267 gherman
 2309 gherman
 2506 gdm
 2639 gherman
 2641 gherman
 2675 gherman
 2755 gherman
 2814 gherman
 2822 gherman
 2830 gherman
 3050 gherman
 3114 gherman
 3156 gherman
 3202 gherman
 3230 gherman
 3436 root
 3513 gherman
 3525 gherman
 3534 gherman
 3557 gherman
 3574 gherman
 3637 root
 3772 gherman
 3790 root
 3803 gherman
 3821 gherman
 4090 root
 4097 root
 4146 root
 4192 root
 4205 root
 4486 root
 4487 gherman
 4488 gherman
